Indicator,Request URL
Long Line Candle,https://api.taapi.io/longline?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Moving Average,https://api.taapi.io/ma?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Moving Average Convergence Divergence (MACD),https://api.taapi.io/macd?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
MACD with controllable MA type,https://api.taapi.io/macdext?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
MESA Adaptive Moving Average,https://api.taapi.io/mama?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Market Facilitation Index,https://api.taapi.io/marketfi?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Marubozu,https://api.taapi.io/marubozu?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Mass Index,https://api.taapi.io/mass?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}&period=50
Matching Low,https://api.taapi.io/matchinglow?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Mat Hold,https://api.taapi.io/mathold?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Highest value over a specified period,https://api.taapi.io/max?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Index of highest value over a specified period,https://api.taapi.io/maxindex?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Median Price,https://api.taapi.io/medprice?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Money Flow Index,https://api.taapi.io/mfi?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
MidPoint over period,https://api.taapi.io/midpoint?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Midpoint Price over period,https://api.taapi.io/midprice?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Lowest value over a specified period,https://api.taapi.io/min?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Index of lowest value over a specified period,https://api.taapi.io/minindex?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Lowest and highest values over a specified period,https://api.taapi.io/minmax?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Indexes of lowest and highest values over a specified period,https://api.taapi.io/minmaxindex?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Minus Directional Indicator,https://api.taapi.io/minus_di?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Minus Directional Movement,https://api.taapi.io/minus_dm?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Momentum,https://api.taapi.io/mom?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Morning Doji Star,https://api.taapi.io/morningdojistar?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Morning Star,https://api.taapi.io/morningstar?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Mesa Sine Wave,https://api.taapi.io/msw?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}&period=50
Vector Multiplication,https://api.taapi.io/mul?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Vector Arithmetic Mult,https://api.taapi.io/mult?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Normalized Average True Range,https://api.taapi.io/natr?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Negative Volume Index,https://api.taapi.io/nvi?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
On Balance Volume,https://api.taapi.io/obv?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
On-Neck Pattern,https://api.taapi.io/onneck?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Price direction,https://api.taapi.io/pd?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Piercing Pattern,https://api.taapi.io/piercing?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Pivot points,https://api.taapi.io/pivotpoints?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Plus Directional Indicator,https://api.taapi.io/plus_di?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Plus Directional Movement,https://api.taapi.io/plus_dm?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Percentage Price Oscillator,https://api.taapi.io/ppo?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Prior Swing High,https://api.taapi.io/priorswinghigh?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Prior Swing Low,https://api.taapi.io/priorswinglow?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
